Model Listwy,,,Akcesoria dodatkowe NPM-V,,,Typy czujników,,,Uchwyty,,,Zasilanie na wejściu,,,Długość kabla,,,Kontrola PDU,,,ochrona PDU,,,Ilość gniazd I typu,,,I Typ gniazd,,,Ilość gniazd II typu,,,II typ gniazd,
Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:,,Nazwa:,Index:
PDU - Basic,1134,, 1 moduł czujników ,1,,NPM-V moduł czujników dodatkowych_2 Door+Door+T_H3,,,Multi Side,0,,DIN49441 (16A/250V),0,,Brak,,,bez kontroli,0,,bez ochrony,0,,1,1,,DIN49440 (16A) SCHUKO,0,,0,0,,DIN49440 (16A) SCHUKO,0
IP-PDU,1134IP,, 2 moduły czujników ,2,,NPM-V moduł czujników dodatkowych_1 T_H1+Smoke+Water,,,Przód/tyl (góra/dól),1,,IEC 320 C14 (10A/250V),2,,3.0 m,,,wyłącznik,1,,wymienny moduł odgromowy,1,,2,2,,NF C61-314:2003 (16A) bolec,1,,1,1,,NF C61-314:2003 (16A) bolec,1
MS-PDU,1134MS,, 1 moduł czujników + 3xMCB,3,,NPM-V moduł czujników standardowy,,,Beznarzędziowe,2,,2 x IEC 320 C14 (10A/250V),3,,5.0 m,,,wyłacznik z bezpiecznikiem automatycznym,2,,moduł odgromowy,2,,3,3,,IEC320 C13 (10A),2,,2,2,,IEC320 C13 (10A),2
PCDS,1134PC,, 2 moduły czujników  + 6xMCB,4,,,,,Beznarzędziowe + przód/tył (góra/dół),3,,IEC 320 C20 (16A/250V),6,,Niestandardowy,,,kontrolka LED,3,,bezpiecznik automatyczny,3,,4,4,,IEC320 C13 (10A) z zamkiem,3,,3,3,,IEC320 C13 (10A) z zamkiem,3
NPM-V,1134N,,"kolorowe gniazda (żółty, niebieski, czerwony)",6,,,,,,,,2 x IEC 320 C20 (16A/250V),4,,,,,kontrolka z bezpiecznikiem automatycznym,4,,amperomierz trójfazowy,4,,5,5,,IEC320 C13 (10A) z bezpiecznikiem,4,,4,4,,IEC320 C13 (10A) z bezpiecznikiem,4
RPDU,1134RP,,3xMCB,7,,,,,,,,IEC 60309 (16A/250V),7,,,,,gniazdo pod moduł MPD,5,,amperomierz jednofazowy,5,,6,6,,IEC320 C13 (10A) z zamkiem i bezpiecznikiem,5,,5,5,,IEC320 C13 (10A) z zamkiem i bezpiecznikiem,5
ATS,1134A,,6xMCB,8,,,,,,,,2 x IEC 60309 (16A/250V),5,,,,,wyłącznik nadmiarowo-prądowy (MCB),6,,moduł odgromowy z filtrem,6,,7,7,,IEC320 C19 (16A),6,,6,6,,IEC320 C19 (16A),6
EMS,1134E,,Obudowa 88mm,0,,,,,,,,IEC 60309 (32A/250V),8,,,,,wyłącznik nadmiarowo-prądowy w blokach x 2 (MCB),7,,bezpiecznik topikowy,7,,8,8,,IEC 60309 (16A/250V),7,,7,7,,IEC 60309 (16A/250V),7
Czujka,1134C,,"kolorowe gniazda (żółty, niebieski, czerwony)+1 moduł czujników",A,,,,,,,,2 x IEC 60309 (32A/250V),9,,,,,wyłącznik różnicowo-prądowy,8,,amperomierz trójfazowy + bezpiecznik automatyczny,8,,9,9,,IEC 60309 (32A/250V),8,,8,8,,IEC 60309 (32A/250V),8
Moduł Pomiarowy MPD,1134M,,"kolorowe gniazda (żółty, niebieski, czerwony)+2 moduły czujników",B,,,,,,,,IEC 60309 (16A/400V),A,,,,,voltomierze,9,,amperomierz jednofazowy + bezpiecznik automatyczny,9,,10,10,,BS1363 (90°),9,,9,9,,BS1363 (90°),9
,,,,,,,,,,,,2 x IEC 60309 (16A/400V),D,,,,,rozłącznik 32A,A,,6 x bezpiecznik automatyczny  32A + 3x bezpiecznik kontrolki LED,A,,11,11,,,,,10,10,,,
,,,,,,,,,,,,IEC 60309 (32A/400V),B,,,,,3 x kontrolka Led,B,,3 x amperomierz jednofazowy,B,,12,12,,,,,11,11,,,
,,,,,,,,,,,,2 x IEC 60309 (32A/400V),E,,,,,6 x bezpiecznik automatyczny + 6 x kontrolka LED,C,,bezpiecznik termiczny,C,,13,13,,,,,12,12,,,
,,,,,,,,,,,,IEC 60309 (63A/400V),C,,,,,,,,moduł USB,D,,14,14,,,,,13,13,,,
,,,,,,,,,,,,BS1363,F,,,,,,,,2 x amperomierz jednofazowy,E,,15,15,,,,,14,14,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,15,15,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,16,16,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,17,17,,,
,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,18,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,19,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,21,21,,,,,20,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,21,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,,,22,22,,,
,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,23,23,,,
,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,24,24,,,
,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,25,25,,,
,,,,,,,,,,,,,,,,,,,,,,,,27,27,,,,,26,26,,,
,,,,,,,,,,,,,,,,,,,,,,,,28,28,,,,,27,27,,,
,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,,,28,28,,,
,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,29,29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,
